time,side,price,size,inventory_after
0.0,buy,90785.77,1.3e-05,1.3e-05
0.0,buy,90786.52,0.00025964,0.00027264
0.166527,buy,90790.91,1.3e-05,0.00028564
0.166527,buy,90790.91,1.3e-05,0.00029864
0.166527,buy,90791.90000000001,0.00052224,0.00082088
0.166527,buy,90790.90000000001,1.3e-05,0.00083388
0.166527,buy,90791.89,0.00052224,0.00135612
0.16921,buy,90794.95,0.00016053,0.00151665
0.16921,buy,90794.95,0.00016053,0.0016771800000000001
0.16921,buy,90794.95,0.00016053,0.0018377100000000002
0.485847,buy,90800.55,1.3e-05,0.0018507100000000002
0.485847,buy,90796.45,1.3e-05,0.0018637100000000002
0.485847,buy,90796.45,1.3e-05,0.0018767100000000002
0.485847,buy,90800.55,1.3e-05,0.0018897100000000002
0.485847,buy,90802.22,0.00106455,0.0029542600000000002
0.485847,buy,90802.21,0.00106455,0.00401881
0.485847,buy,90800.53,1.3e-05,0.00403181
0.485847,buy,90802.2,0.00106455,0.00509636
0.485847,buy,90802.19,0.00106455,0.00616091
0.485847,buy,90800.51,1.3e-05,0.00617391
0.485847,buy,90796.41,1.3e-05,0.00618691
0.807969,buy,90804.38,0.00033665,0.00652356
0.807969,buy,90809.73,1.3e-05,0.00653656
0.807969,buy,90809.73,1.3e-05,0.00654956
0.807969,buy,90805.63,1.3e-05,0.00656256
0.807969,buy,90804.37,0.00033665,0.00689921
0.807969,buy,90814.52,0.00069483,0.00759404
0.807969,buy,90805.63,1.3e-05,0.00760704
0.807969,buy,90805.63,1.3e-05,0.00762004
0.807969,buy,90814.51,0.00069483,0.00831487
0.807969,buy,90814.51,0.00069483,0.0090097
0.807969,buy,90813.81,1.3e-05,0.009022700000000002
0.807969,buy,90809.71,1.3e-05,0.009035700000000002
0.807969,buy,90809.71,1.3e-05,0.009048700000000003
0.807969,buy,90804.35,0.00033665,0.009385350000000004
0.807969,buy,90813.81,1.3e-05,0.009398350000000005
0.807969,buy,90813.81,1.3e-05,0.009411350000000006
1.024389,buy,90816.94,0.00064852,0.010059870000000005
1.024389,buy,90816.94,0.00064852,0.010708390000000005
1.971451,buy,90825.51,0.00372068,0.014429070000000006
1.971451,buy,90819.68000000001,1.3e-05,0.014442070000000006
1.971451,buy,90825.48,0.00372068,0.018162750000000005
1.971451,buy,90819.65000000001,1.3e-05,0.018175750000000004
1.971451,buy,90815.55,1.3e-05,0.018188750000000004
1.971451,buy,90825.44,0.00372068,0.021909430000000004
1.971451,buy,90819.61,1.3e-05,0.021922430000000003
1.971451,buy,90815.51,1.3e-05,0.021935430000000002
1.971451,buy,90815.51,1.3e-05,0.02194843
1.971451,buy,90815.51,1.3e-05,0.02196143
2.30983,buy,90829.07,0.00027264,0.02223407
2.30983,buy,90829.07,0.00027264,0.022506710000000003
2.30983,buy,90829.07,0.00027264,0.022779350000000004
2.30983,buy,90829.07,0.00027264,0.023051990000000005
2.372005,buy,90830.31,0.00010633,0.023158320000000007
2.372005,buy,90830.31,0.00010633,0.023264650000000008
2.372005,buy,90830.31,0.00010633,0.02337098000000001
2.55912,buy,90829.74,0.00088814,0.02425912000000001
2.55912,buy,90829.73,0.00088814,0.025147260000000008
2.55912,buy,90829.72,0.00088814,0.026035400000000007
2.55912,buy,90829.71,0.00088814,0.026923540000000006
2.647202,sell,90847.14,0.00022666,0.026696880000000006
2.647202,sell,90847.14,0.00022666,0.026470220000000006
2.647202,sell,90847.14,0.00022666,0.026243560000000006
2.647202,sell,90847.14,0.00022666,0.026016900000000006
3.048022,buy,90828.77,0.00163582,0.027652720000000006
3.336643,buy,90827.90000000001,0.00545273,0.03310545000000001
3.336643,buy,90827.85,0.00545273,0.03855818000000001
3.336643,buy,90827.8,0.00545273,0.044010910000000014
3.336643,buy,90827.75,0.00545273,0.04946364000000002
3.35156,buy,90829.79000000001,0.00053524,0.049998880000000016
3.35156,buy,90829.79000000001,0.00053524,0.050534120000000016
3.35156,buy,90829.78,0.00053524,0.051069360000000015
3.781023,buy,90827.93000000001,0.00054527,0.051614630000000015
3.781023,buy,90827.92,0.00054527,0.052159900000000016
3.781023,buy,90827.92,0.00054527,0.052705170000000016
3.781023,buy,90827.91,0.00054527,0.05325044000000002
4.191635,buy,90827.58,0.00040743,0.05365787000000002
4.191635,buy,90827.57,0.00040743,0.05406530000000002
4.191635,buy,90827.57,0.00040743,0.05447273000000002
4.191635,buy,90827.56,0.00040743,0.05488016000000002
4.345697,buy,90828.64,0.00054527,0.05542543000000002
4.345697,buy,90828.63,0.00054527,0.05597070000000002
4.359125,buy,90829.54000000001,1.908e-05,0.05598978000000002
4.359125,buy,90829.54000000001,1.908e-05,0.056008860000000014
4.359125,buy,90829.54000000001,1.908e-05,0.05602794000000001
4.359125,buy,90829.54000000001,1.908e-05,0.05604702000000001
6.31745,buy,90825.98,0.00109919,0.05714621000000001
6.31745,buy,90825.97,0.00109919,0.05824540000000001
6.31745,buy,90825.96,0.00109919,0.05934459000000001
7.011818,buy,90826.13,0.0075,0.06684459000000001
7.011818,buy,90826.06,0.0085,0.07534459000000002
7.011818,buy,90825.99,0.005,0.08034459000000002
7.011818,buy,90825.94,0.0075,0.08784459000000003
7.011818,buy,90825.87,0.0085,0.09634459000000004
7.011818,buy,90825.8,0.0085,0.10484459000000004
7.011818,buy,90825.72,0.005,0.10984459000000005
8.720221,sell,90850.63,3.93e-05,0.10980529000000004
8.720221,sell,90850.63,3.93e-05,0.10976599000000004
8.720221,sell,90850.63,3.93e-05,0.10972669000000003
10.912695,buy,90825.25,0.00026762,0.10999431000000003
10.912695,buy,90825.24,0.00026762,0.11026193000000002
10.912695,buy,90825.24,0.00026762,0.11052955000000002
10.912695,buy,90825.24,0.00026762,0.11079717000000001
12.34044,buy,90825.36,0.00805958,0.11885675000000001
12.34044,buy,90825.29000000001,0.00805958,0.12691633000000002
12.34044,buy,90825.22,0.00805958,0.13497591000000003
12.34044,buy,90825.14,0.00805958,0.14303549000000004
12.355848,buy,90827.98,0.00020881,0.14324430000000005
12.355848,buy,90827.98,0.00020881,0.14345311000000005
12.355848,buy,90827.98,0.00020881,0.14366192000000005
12.355848,buy,90827.98,0.00020881,0.14387073000000006
12.786028,sell,90848.85,0.00090998,0.14296075000000005
12.786028,sell,90848.85,0.00090998,0.14205077000000005
12.786028,sell,90848.86,0.00090998,0.14114079000000004
12.995194,buy,90827.2,0.00106979,0.14221058000000003
12.995194,buy,90827.19,0.00106979,0.14328037000000002
12.995194,buy,90827.18000000001,0.00106979,0.14435016
13.210442,sell,90848.14,0.00082169,0.14352847
13.210442,sell,90848.15000000001,0.00082169,0.14270677999999998
13.210442,sell,90848.15000000001,0.00082169,0.14188508999999996
13.673304,buy,90826.42,0.00050645,0.14239153999999996
13.673304,buy,90826.41,0.00050645,0.14289798999999995
13.673304,buy,90826.41,0.00050645,0.14340443999999994
13.673304,buy,90826.40000000001,0.00050645,0.14391088999999993
13.690034,buy,90828.67,0.01069787,0.15460875999999993
13.690034,buy,90828.57,0.01069787,0.16530662999999993
13.690034,buy,90828.48,0.01069787,0.17600449999999992
13.690034,buy,90828.38,0.01069787,0.18670236999999992
13.932538,sell,90846.96,0.00014925,0.18655311999999993
13.932538,sell,90846.96,0.00014925,0.18640386999999994
13.932538,sell,90846.97,0.00014925,0.18625461999999995
13.932538,sell,90846.97,0.00014925,0.18610536999999996
13.975388,sell,90845.55,5.493e-05,0.18605043999999996
13.975388,sell,90845.55,5.493e-05,0.18599550999999995
13.975388,sell,90845.55,5.493e-05,0.18594057999999994
15.363464,buy,90825.04000000001,1.409e-05,0.18595466999999993
15.363464,buy,90825.05,0.0010301,0.18698476999999994
15.363464,buy,90825.03,1.409e-05,0.18699885999999993
15.363464,buy,90825.04000000001,0.0010301,0.18802895999999994
15.363464,buy,90825.03,0.0010301,0.18905905999999995
15.363464,buy,90825.01,1.409e-05,0.18907314999999994
15.363464,buy,90825.02,0.0010301,0.19010324999999995
16.772502,buy,90824.78,0.00010633,0.19020957999999993
16.772502,buy,90824.78,0.00010633,0.19031590999999992
16.772502,buy,90824.78,0.00010633,0.1904222399999999
16.772502,buy,90824.78,0.00010633,0.1905285699999999
17.697363,buy,90824.86,0.00052149,0.1910500599999999
17.697363,buy,90824.86,0.00052149,0.19157154999999992
17.697363,buy,90824.85,0.00052149,0.19209303999999994
17.989605,buy,90825.68000000001,9.088e-05,0.19218391999999992
18.072041,buy,90826.06,0.00032096,0.19250487999999993
18.072041,buy,90826.06,0.00032096,0.19282583999999994
18.072041,buy,90826.06,0.00032096,0.19314679999999995
18.874112,buy,90825.03,0.02336,0.21650679999999994
18.874112,buy,90824.8,0.0048195,0.22132629999999995
18.874112,buy,90825.3,0.01100842,0.23233471999999994
18.874112,buy,90825.2,0.01100842,0.24334313999999993
18.874112,buy,90824.57,0.02336,0.26670313999999995
18.874112,buy,90824.39,0.0378902,0.30459333999999993
18.874112,buy,90824.58,1.3e-05,0.3046063399999999
18.874112,buy,90824.58,1.3e-05,0.3046193399999999
18.874112,buy,90824.04000000001,0.0378902,0.3425095399999999
18.874112,buy,90824.94,0.02988704,0.37239657999999987
18.874112,buy,90823.40000000001,0.02336,0.39575657999999986
18.874112,buy,90823.18000000001,0.0048195,0.40057607999999983
18.874112,buy,90823.67,0.01100842,0.41158449999999985
18.874112,buy,90823.07,0.0378902,0.44947469999999984
18.874112,buy,90823.23,0.01100842,0.46048311999999986
19.203877,buy,90825.94,0.0002402,0.4607233199999999
19.203877,buy,90825.94,0.0002402,0.4609635199999999
19.203877,buy,90825.94,0.0002402,0.46120371999999993
21.028906,buy,90822.27,0.00406521,0.4652689299999999
21.028906,buy,90822.23,0.00406521,0.4693341399999999
21.028906,buy,90822.19,0.00406521,0.4733993499999999
21.028906,buy,90822.15000000001,0.00406521,0.47746455999999987
21.234459,buy,90823.71,2.22e-06,0.47746677999999987
21.234459,buy,90823.71,2.22e-06,0.47746899999999987
21.234459,buy,90823.71,2.22e-06,0.47747121999999986
22.170471,buy,90822.35,0.00059084,0.47806205999999984
22.170471,buy,90822.34,0.00059084,0.4786528999999998
23.19755,buy,90822.08,0.00093032,0.4795832199999998
23.19755,buy,90822.08,0.00093032,0.4805135399999998
23.19755,buy,90822.07,0.00093032,0.4814438599999998
23.509704,buy,90822.93000000001,0.00390195,0.48534580999999977
23.509704,buy,90822.89,0.00390195,0.48924775999999975
23.509704,buy,90822.86,0.00390195,0.49314970999999974
23.509704,buy,90822.81,1.363e-05,0.49316333999999973
23.509704,buy,90822.81,1.363e-05,0.4931769699999997
23.509704,buy,90822.82,0.00390195,0.4970789199999997
26.139824,sell,90847.25,0.00136178,0.4957171399999997
26.139824,sell,90847.27,0.00050966,0.4952074799999997
26.139824,sell,90847.26,0.00136178,0.4938456999999997
26.139824,sell,90847.28,0.00136178,0.49248391999999974
26.139824,sell,90847.29000000001,0.00136178,0.49112213999999976
26.147881,buy,90828.07,0.00010905,0.49123118999999976
26.147881,buy,90828.07,0.00010905,0.49134023999999976
27.101335,sell,90846.83,0.00055,0.49079023999999977
27.109789,sell,90845.90000000001,9.653e-05,0.4906937099999998
27.109789,sell,90845.90000000001,0.12206347,0.3686302399999998
27.109789,sell,90847.01,9.653e-05,0.3685337099999998
27.109789,sell,90847.01,0.12206347,0.24647023999999979
27.109789,sell,90848.12,0.12206347,0.12440676999999979
27.109789,sell,90849.23,9.653e-05,0.1243102399999998
27.109789,sell,90849.23,9.653e-05,0.1242137099999998
27.112421,sell,90845.09,0.01099189,0.11322181999999979
27.112421,sell,90845.62,8.11e-06,0.11321370999999979
27.112421,sell,90845.19,0.01099189,0.10222181999999978
27.112421,sell,90845.72,8.11e-06,0.10221370999999978
27.112421,sell,90845.29000000001,0.01099189,0.09122181999999977
27.115357,sell,90844.19,1.665e-05,0.09120516999999977
27.115357,sell,90844.19,1.665e-05,0.09118851999999976
27.115357,sell,90844.19,1.665e-05,0.09117186999999975
29.880755,buy,90817.81,0.01069787,0.10186973999999975
29.880755,buy,90817.71,0.01069787,0.11256760999999975
29.880755,buy,90817.62,0.01069787,0.12326547999999975
29.963238,sell,90840.95,0.00087419,0.12239128999999975
29.963238,sell,90841.05,0.00022666,0.12216462999999975
29.963238,sell,90840.96,0.00087419,0.12129043999999975
29.963238,sell,90841.06,0.00022666,0.12106377999999975
31.763644,buy,90817.48,1.319e-05,0.12107696999999974
31.763644,buy,90817.48,1.319e-05,0.12109015999999974
31.763644,buy,90817.48,0.00105659,0.12214674999999973
31.763644,buy,90817.47,0.00105659,0.12320333999999973
31.763644,buy,90817.46,0.00105659,0.12425992999999973
32.147217,buy,90818.65000000001,1.277e-05,0.12427269999999972
32.147217,buy,90820.07,0.0106928,0.1349654999999997
32.147217,buy,90819.97,0.0106928,0.1456582999999997
32.147217,buy,90819.87,0.0106928,0.15635109999999972
32.147217,buy,90818.36,1.277e-05,0.1563638699999997
33.543242,sell,90842.5,1.555e-05,0.1563483199999997
33.543242,sell,90842.5,1.555e-05,0.1563327699999997
33.543242,sell,90842.5,6.762e-05,0.15626514999999971
33.543242,sell,90842.5,6.762e-05,0.15619752999999972
33.543242,sell,90842.5,6.762e-05,0.15612990999999973
33.543242,sell,90842.5,1.555e-05,0.15611435999999973
33.543242,sell,90842.5,6.762e-05,0.15604673999999974
34.59329,sell,90842.18000000001,0.005,0.15104673999999974
34.59329,sell,90842.23,0.00162645,0.14942028999999973
34.59329,sell,90842.24,0.00162645,0.14779383999999973
34.59329,sell,90842.26,0.005,0.14279383999999973
34.59329,sell,90842.3,0.00162645,0.14116738999999973
34.59329,sell,90842.32,0.01,0.13116738999999972
34.59329,sell,90842.38,0.02397405,0.10719333999999972
34.59329,sell,90842.63,0.01,0.09719333999999973
34.59329,sell,90842.69,0.00438395,0.09280938999999973
34.59329,sell,90842.73,0.02397405,0.06883533999999973
34.59329,sell,90842.97,0.00162645,0.06720888999999973
34.59329,sell,90842.99,0.005,0.06220888999999973
34.59329,sell,90843.03,1.555e-05,0.06219333999999973
34.59329,sell,90843.0,0.00438395,0.05780938999999973
34.59329,sell,90843.07,0.01,0.04780938999999973
35.363517,sell,90842.27,1.354e-05,0.04779584999999973
35.363517,sell,90842.26,0.00066392,0.04713192999999973
35.363517,sell,90842.27,1.354e-05,0.04711838999999973
35.363517,sell,90842.27,1.354e-05,0.04710484999999973
35.363517,sell,90842.26,0.00066392,0.046440929999999735
35.363517,sell,90842.28,1.354e-05,0.046427389999999735
35.363517,sell,90842.27,0.00066392,0.04576346999999974
35.363517,sell,90842.27,0.00066392,0.04509954999999974
36.470342,sell,90843.21,0.00443852,0.04066102999999974
36.470342,sell,90843.26,0.0015,0.039161029999999736
36.470342,sell,90843.27,0.0015,0.037661029999999734
36.470342,sell,90843.29000000001,1.532e-05,0.037645709999999735
36.470342,sell,90843.28,0.00443852,0.033207189999999734
36.470342,sell,90843.33,1.532e-05,0.033191869999999735
36.470342,sell,90843.33,0.0015,0.03169186999999973
36.470342,sell,90843.34,0.005,0.026691869999999732
36.470342,sell,90843.39,0.005,0.02169186999999973
36.470342,sell,90843.42,0.00443852,0.01725334999999973
36.470342,sell,90843.46,0.00443852,0.01281482999999973
36.470342,sell,90843.23,0.01004616,0.0027686699999997302
36.470342,sell,90843.32,0.01004616,-0.00727749000000027
36.470342,sell,90843.42,0.01004616,-0.01732365000000027
37.915733,buy,90819.45,0.0001273,-0.01719635000000027
37.915733,buy,90819.45,0.0001273,-0.01706905000000027
37.915733,buy,90819.44,0.0001273,-0.01694175000000027
38.484258,buy,90819.62,3.37e-06,-0.01693838000000027
38.484258,buy,90819.62,3.37e-06,-0.01693501000000027
38.484258,buy,90819.62,3.37e-06,-0.016931640000000272
39.536263,buy,90820.44,0.00027459,-0.01665705000000027
39.536263,buy,90820.44,0.00027459,-0.01638246000000027
39.536263,buy,90820.43000000001,0.00027459,-0.016107870000000267
39.536263,buy,90820.43000000001,0.00027459,-0.015833280000000265
40.026885,buy,90819.85,0.00031325,-0.015520030000000266
40.026885,buy,90819.84,0.00031325,-0.015206780000000267
40.026885,buy,90819.84,0.00031325,-0.014893530000000267
40.334571,buy,90820.3,0.0003467,-0.014546830000000267
40.334571,buy,90820.3,0.0003467,-0.014200130000000267
40.334571,buy,90820.3,0.0003467,-0.013853430000000267
40.994327,buy,90819.64,0.00035499,-0.013498440000000268
40.994327,buy,90819.64,0.00035499,-0.013143450000000268
40.996754,buy,90821.21,6.267e-05,-0.013080780000000267
40.996754,buy,90821.21,6.267e-05,-0.013018110000000267
41.013541,buy,90822.24,0.00139923,-0.011618880000000267
41.013541,buy,90822.22,0.00139923,-0.010219650000000267
41.013541,buy,90822.21,0.00139923,-0.008820420000000268
41.013541,buy,90822.2,0.00139923,-0.007421190000000268
42.853556,buy,90819.03,0.00034235,-0.007078840000000268
42.853556,buy,90819.02,0.00034235,-0.006736490000000268
42.853556,buy,90819.02,0.00034235,-0.006394140000000268
45.469401,buy,90818.86,0.00053488,-0.005859260000000269
45.469401,buy,90818.85,0.00053488,-0.005324380000000269
45.469401,buy,90818.85,0.00053488,-0.004789500000000269
46.554143,buy,90818.99,5.466e-05,-0.0047348400000002695
46.554143,buy,90818.99,5.466e-05,-0.00468018000000027
46.554143,buy,90818.99,5.466e-05,-0.00462552000000027
46.554143,buy,90818.98,5.466e-05,-0.00457086000000027
46.66152,sell,90842.09,1.347e-05,-0.00458433000000027
46.66152,sell,90842.09,1.347e-05,-0.00459780000000027
46.66152,sell,90842.09,8.275e-05,-0.00468055000000027
46.66152,sell,90842.09,1.347e-05,-0.00469402000000027
46.66152,sell,90842.09,8.275e-05,-0.00477677000000027
46.66152,sell,90842.09,8.275e-05,-0.004859520000000271
46.66152,sell,90842.09,1.347e-05,-0.00487299000000027
46.820403,buy,90822.8,0.00219294,-0.0026800500000002704
46.820403,buy,90822.78,0.00219294,-0.0004871100000002704
46.820403,buy,90822.76,0.00219294,0.0017058299999997296
46.820403,buy,90822.74,0.00219294,0.0038987699999997296
47.283073,sell,90842.26,4.13e-06,0.0038946399999997294
47.283073,sell,90842.26,4.13e-06,0.003890509999999729
47.283073,sell,90842.26,4.13e-06,0.003886379999999729
47.38821,sell,90841.24,7.211e-05,0.003814269999999729
47.38821,sell,90841.24,7.211e-05,0.0037421599999997294
47.38821,sell,90841.24,7.211e-05,0.0036700499999997296
48.052793,sell,90843.17,5.406e-05,0.0036159899999997297
48.052793,sell,90843.17,5.406e-05,0.00356192999999973
48.052793,sell,90843.17,5.406e-05,0.00350786999999973
49.435069,buy,90819.0,0.00055586,0.00406372999999973
49.435069,buy,90819.0,0.00055586,0.00461958999999973
50.176851,buy,90819.06,2.997e-05,0.00464955999999973
50.176851,buy,90819.06,2.997e-05,0.00467952999999973
50.176851,buy,90819.06,2.997e-05,0.0047094999999997295
50.176851,buy,90819.06,2.997e-05,0.004739469999999729
50.883879,sell,90843.78,0.00398077,0.0007586999999997296
50.883879,sell,90843.82,0.00398077,-0.0032220700000002702
52.185591,buy,90818.96,0.00101636,-0.0022057100000002702
52.185591,buy,90818.95,0.00101636,-0.0011893500000002702
52.185591,buy,90818.94,0.00101636,-0.00017299000000027022
52.185591,buy,90818.93000000001,0.00101636,0.0008433699999997298
52.4286,sell,90842.78,3.5e-05,0.0008083699999997298
52.4286,sell,90842.78,3.5e-05,0.0007733699999997298
52.4286,sell,90842.78,3.5e-05,0.0007383699999997298
52.4286,sell,90842.78,3.5e-05,0.0007033699999997299
52.465614,buy,90822.54000000001,0.00354227,0.0042456399999997296
52.465614,buy,90822.51,0.00354227,0.00778790999999973
52.465614,buy,90822.48,0.00354227,0.01133017999999973
52.465614,buy,90822.44,0.00354227,0.01487244999999973
53.45618,buy,90819.32,0.00093985,0.01581229999999973
53.45618,buy,90819.31,0.00093985,0.01675214999999973
53.45618,buy,90819.31,0.00093985,0.01769199999999973
54.169527,buy,90819.18000000001,2.58e-06,0.017694579999999727
54.169527,buy,90819.18000000001,2.58e-06,0.017697159999999726
54.169527,buy,90819.18000000001,2.58e-06,0.017699739999999724
54.337604,buy,90820.41,0.00021799,0.017917729999999726
54.337604,buy,90820.41,0.00021799,0.018135719999999727
54.337604,buy,90820.40000000001,0.00021799,0.018353709999999728
54.337604,buy,90820.40000000001,0.00021799,0.01857169999999973
55.469865,buy,90818.99,1.25e-05,0.018584199999999728
55.469865,buy,90818.99,1.25e-05,0.018596699999999727
55.469865,buy,90818.99,1.25e-05,0.018609199999999725
55.469865,buy,90818.99,1.25e-05,0.018621699999999724
55.970455,buy,90819.53,0.00104426,0.019665959999999726
55.970455,buy,90819.52,0.00104426,0.020710219999999724
55.970455,buy,90819.51,0.00104426,0.021754479999999722
55.970455,buy,90819.51,0.00104426,0.02279873999999972
56.817868,buy,90819.1,0.00109647,0.02389520999999972
56.817868,buy,90819.09,0.00109647,0.024991679999999718
57.005653,buy,90819.84,0.00024,0.02523167999999972
57.005653,buy,90819.84,0.00024,0.02547167999999972
57.005653,buy,90819.84,0.00024,0.02571167999999972
57.073471,buy,90821.3,0.00037,0.02608167999999972
57.073471,buy,90821.3,0.00037,0.026451679999999717
57.073471,buy,90821.3,0.00037,0.026821679999999716
57.49581,buy,90820.12,0.01069874,0.037520419999999714
57.49581,buy,90820.02,0.01069874,0.04821915999999971
57.49581,buy,90819.93000000001,0.01069874,0.05891789999999971
57.542917,buy,90821.36,0.00167075,0.06058864999999971
57.542917,buy,90821.34,0.00167075,0.06225939999999971
57.542917,buy,90821.32,0.00167075,0.06393014999999971
57.542917,buy,90821.31,0.00167075,0.06560089999999971
58.216181,buy,90819.35,0.0004702,0.06607109999999972
58.216181,buy,90819.35,0.0004702,0.06654129999999972
58.216181,buy,90819.34,0.0004702,0.06701149999999972
58.802642,buy,90819.04000000001,0.00010899,0.06712048999999973
58.802642,buy,90819.04000000001,0.00010899,0.06722947999999973
58.905776,sell,90841.94,0.00035412,0.06687535999999973
58.905776,sell,90841.94,0.00035412,0.06652123999999973
58.905776,sell,90841.95,2.856e-05,0.06649267999999973
58.905776,sell,90841.95,0.00035412,0.06613855999999974
58.905776,sell,90841.95,0.00035412,0.06578443999999974
59.047901,buy,90821.56,0.00160481,0.06738924999999973
59.047901,buy,90821.55,0.00160481,0.06899405999999973
59.047901,buy,90821.53,0.00160481,0.07059886999999973
59.575296,buy,90819.67,0.00021799,0.07081685999999973
59.575296,buy,90819.67,0.00021799,0.07103484999999973
60.546472,sell,90843.31,0.01667922,0.05435562999999973
60.546472,sell,90843.46,0.01667922,0.03767640999999973
60.546472,sell,90843.61,0.01667922,0.02099718999999973
60.808163,buy,90820.04000000001,0.00125309,0.022250279999999727
60.808163,buy,90820.03,0.00125309,0.023503369999999725
60.808163,buy,90820.01,0.00125309,0.024756459999999723
60.878085,buy,90821.40000000001,0.00010899,0.024865449999999723
60.878085,buy,90821.39,0.00010899,0.024974439999999723
60.878085,buy,90821.39,0.00010899,0.025083429999999723
60.878085,buy,90821.39,0.00010899,0.025192419999999723
61.117436,buy,90821.28,0.00026747,0.02545988999999972
61.117436,buy,90821.28,0.00026747,0.02572735999999972
61.117436,buy,90821.28,0.00026747,0.02599482999999972
61.577882,buy,90820.11,0.00091164,0.026906469999999717
61.577882,buy,90820.1,0.00091164,0.027818109999999716
61.577882,buy,90820.1,0.00091164,0.028729749999999714
61.792836,buy,90820.62,5.177e-05,0.028781519999999713
61.792836,buy,90820.62,5.177e-05,0.028833289999999713
61.792836,buy,90820.62,5.177e-05,0.028885059999999713
61.818964,buy,90822.12,0.00053494,0.029419999999999714
61.818964,buy,90822.11,0.00053494,0.029954939999999715
61.818964,buy,90822.11,0.00053494,0.030489879999999716
61.818964,buy,90822.1,0.00053494,0.031024819999999717
61.890478,buy,90822.96,0.00163489,0.03265970999999972
61.890478,buy,90822.94,0.00163489,0.03429459999999972
61.890478,buy,90822.93000000001,0.00163489,0.03592948999999972
61.890478,buy,90822.91,0.00163489,0.03756437999999972
62.005906,buy,90823.04000000001,0.00026747,0.037831849999999716
62.005906,buy,90823.04000000001,0.00026747,0.038099319999999715
62.005906,buy,90823.04000000001,0.00026747,0.03836678999999971
62.005906,buy,90823.03,0.00026747,0.03863425999999971
