Strategy,Total PnL,Sharpe Ratio,Max Drawdown,Fill Rate,Num Trades,Final Inventory,Avg Spread
Univariate Hawkes,-3.7414390215853928,-0.007334851738535812,19.21299040497979,0.9615384615384616,1200,1.865250090000003,3.973669871795163
Hawkes Exponential,50.431982636640896,0.14807118380963802,2.234490123548312,0.6810897435897436,850,1.2534569900000003,35.89382211538428
Hawkes Power-law,15.550551142456243,0.07173349756717148,2.481226367497584,0.8004807692307693,999,1.141041099999999,19.57802083333313
Avellaneda-Stoikov,-14.40512443849002,-0.03551575286007316,21.57385257734859,0.9567307692307693,1194,1.6925012700000015,3.6399999999999775
